               |  auc   |              matrix constructor                  |        classifier          | # features
               | 0.7657 | m007b(cut_bound=30, drop_bound=16, max_level=10) | LogisticRegression(C=0.03) |    3774
               | 0.7656 | m007b(cut_bound=30, drop_bound=19, max_level=10) | LogisticRegression(C=0.03) |    3684
               | 0.7657 | m007b(cut_bound=30, drop_bound=20, max_level=10) | LogisticRegression(C=0.03) |    3652
               | 0.7665 | m007b(cut_bound=30, drop_bound=30, max_level=10) | LogisticRegression(C=0.03) |    3342

   age_13_14   | 0.8201 | m007b(cut_bound= 5, drop_bound= 1, max_level=10) | LogisticRegression(C=0.18) |   20150
               | 0.8207 | m007b(cut_bound= 5, drop_bound= 3, max_level=10) | LogisticRegression(C=0.18) |   18346
               | 0.8208 | m007b(cut_bound= 5, drop_bound= 5, max_level=10) | LogisticRegression(C=0.19) |   17356
               | 0.8171 | m007b(cut_bound= 7, drop_bound= 1, max_level=10) | LogisticRegression(C=0.15) |   15694
               | 0.8178 | m007b(cut_bound= 7, drop_bound= 3, max_level=10) | LogisticRegression(C=0.14) |   13979
               | 0.8184 | m007b(cut_bound= 7, drop_bound= 5, max_level=10) | LogisticRegression(C=0.15) |   13331
               | 0.8178 | m007b(cut_bound= 7, drop_bound= 7, max_level=10) | LogisticRegression(C=0.15) |   12754
               | 0.8207 | m007b(cut_bound=10, drop_bound= 1, max_level=10) | LogisticRegression(C=0.16) |   12214
               | 0.8210 | m007b(cut_bound=10, drop_bound= 3, max_level=10) | LogisticRegression(C=0.18) |   10563
               | 0.8204 | m007b(cut_bound=10, drop_bound= 5, max_level=10) | LogisticRegression(C=0.15) |   10040
               | 0.8204 | m007b(cut_bound=10, drop_bound= 7, max_level=10) | LogisticRegression(C=0.15) |    9668
               | 0.8199 | m007b(cut_bound=10, drop_bound=10, max_level=10) | LogisticRegression(C=0.14) |    9139
               | 0.8185 | m007b(cut_bound=13, drop_bound= 1, max_level=10) | LogisticRegression(C=0.12) |   10307
               | 0.8190 | m007b(cut_bound=13, drop_bound= 3, max_level=10) | LogisticRegression(C=0.13) |    8683
               | 0.8189 | m007b(cut_bound=13, drop_bound= 5, max_level=10) | LogisticRegression(C=0.13) |    8216
